Position,Foot,Primary,Secondary,Nation,Name,Club,Level
WF,L,Creator,Striker,Australia,Nestory Irankunda,Bayern Munich,85
CM,E,Creator,Passer,Norway,Sverre Nypan,Rosenborg,85
CF,R,Striker,Engine,Argentina,Agustin Ruberto,River Plate,85
CF,R,Striker,Aerial,Netherlands,Julian Rijkhoff,Ajax,85
WF,R,Creator,Engine,Spain,Assane Diao,Real Betis,85
CF,R,Striker,Sprinter,Germany,Paris Brunner,Borussia Dortmund,85
CM,,,,Argentina,Franco Mastantuono,River Plate,85
CF,,Striker,Powerhouse,Nigeria,George Ilenikhena,Royal Antwerp,85
CM,,Engine,Controller,Netherlands,Isaac Babadi,PSV,85
CM,L,Creator,Dribbler,Italy,Simone Pafundi,Udinese,85
CM,R,Engine,Controller,England,Jack Hinshelwood,Brighton,85
CF,,Striker,,Italy,Francesco Camarda,AC Milan,85
CF,R,Sprinter,Creator,Senegal,Amara Diouf,Generation Foot,85
CM,E,Engine,Controller,,Assan Ouedraogo,Schalke,85
WF,L,Sprinter,Creator,Breazil,Luis Guilherme,Palmeiras,86
WF,L,Dribbler,Creator,Sweden,Roony Bardghji,FC Copenhagen,86
WF,R,Norway,Dribbler,Creator,Antonio Nusa,Club Brugge,86
GK,,Germany,,,Tjark Ernst,Herta Berlin,84
GK,,Brazil,,,Diego Callai,Sporting,85
GK,,Germany,,,Jonas Erbig,Koln,84
GK,,Poland,,,Bartosz Zelazowski,OGC Nice,84
GK,,England,,,Spike Brits,Manchester City,83
GK,,France,,,Mathieu Patouillet,FCSM,83
GK,,England,,,Tommy Setford,Ajax,83
GK,,Japan,,,Zion Suzuki,STVV,85
GK,,France,,,Kayode Bankole,Remo Stars,84
GK,,Sweden,,,Oliver Dovin,Hammarby,84
CD,,Czech Republic,,,Martin Vitik,Sparta Prague,84
CD,,France,,,Zeno Debasi,Anderlecht,84
CD,,Spain,,,Ajelando Frances,Zaragoza,84
CD,,Argentina,,,,Sebastian Boselli,River Plate,85
CD,,Netherlands,,,Ethan Butera,Ajax,84
CD,,Senegal,,,Mika Faye,Barcelona,84
CD,,Croatia,,,Luka Vuskovic,Hajduk,84
CD,,Burkina Faso,,,Nasser Djiga,Basel,84
CD,,Switzerland,,,Aurele Amenda,Young Boys,84
CD,,Brazil,,,Kaiky,Almeria,84
CD,,Belgium,,,Ismael Baouf,Anderlecht,84
WD,L,England,,,Harry Amass,Manchester United,83
WD,L,England,,,Harvey Araujo,Fulham,83
WD,L,England,,,Jayden Meghoma,Southampton,83
WD,L,Denmark,,,Patrick Dorgu,Salento,83
WD,L,Senegal,,,El Hadji Malick Diouf,Slavia Prague,83
WD,L,Netherlands,,,Prince Aning,Borussia Dortmund,83
WD,L,Netherlands,,,Rainey Breinburg,Feyenoord,83
WD,L,Romania,,,Andrei Borza,Rapid,83
WD,L,Brazil,,,Patryck Lanza,Sao Paulo,83
WD,R,Denmark,,,Elias Jelert,Copenhagen,85
WD,R,Italy,,,Tommaso Barbieri,Juventus,84
WD,R,Croatia,,,Noa Mikic,Dinamo,84
WD,R,,,,Martim Fernandes,Porto,84
WD,R,Serbia,,,Kosta Nedeljkovic,Aston Villa,84
WD,R,Scotland,,,Max Johnstone,Sturm Graz,84
CM,,England,,,Tyler MOrton,Liverpool,84
CM,,Spain,,,Gerard Yepes,Sampdoria,84
CM,,Italy,,,Giacomo Faticanti,Salento,84
CM,,Turkey,,,Yunus Emre Konak,Brentford,84
CM,,Spain,,,Marc Bernal,Barcelona,84
CM,,Portugal,,,Dinis Telehovschi,Benfica,83
CM,,,,,Elio Rufener,Young Boys,83
CM,,,,,Noel Aseko Nkili,Bayern Munich,83
CM,,,,,Daniel Daga,One Rocket,83
CM,,,,,Bailey Rice,Rangers,83
CM,,,,,Sverre Halseth Nypan,Rosenborg,84
CM,,,,,Tygo Land,PSV,85
CM,,,,,Guillerme Santos,Sporting,84
CM,,,,,Daniel Gore,Manchester United,84
CM,,,,,Kees Smit,AZ,84
CM,,,,,Gael Lafont,OM,84
WF,,Netherlands,,,Amourricho can Axel Dongen,Ajax,84
WF,,,,,Lucas Assadi,Universario de Chile,85
WF,,,,,Luis Carbonell,Tudelano,84
WF,,,,,Nico Paz,Real Madrid,84
WF,,,,,Sergey Pinyaev,Lokomitiv Moscow,85
WF,,,,,Nico Serrano,Athletic,85
WF,,,,,William Gomes,Sao Paulo,85
WF,,,,,Estanis Pedrola,Barcelona,84
WF,,Italy,,,Luis Hasa,Juventus,84
WF,,,,,Mika Godts,Ajax,84
WF,,,,,Noha Lemina,PSG,84
WF,,,,,Chaka Traore,AC Milan,84
WF,,,,,Brian Aguirre,Newell's,84
WF,,,,,Goncalo Moreira,Benfica,85
WF,,,,,Gianluca Prestianni,Velez,85
WF,,,,,Rayan,Vasco De Gama,84
WF,,,,,Tyler Dibling,Southampton,83
WF,,,,,Jasper Hartog,AZ,84
WF,,,,,Anas Al-Dahan,Al-Ahli,
WF,,,,,Ian Subiabre,River PLate,84
WF,,,,,Marin Petkov,Levski,84
WF,,,,,Kadan Young,Aston Villa,84
WF,,,,,Marquinhos,Arsenal,84
WF,,,,,Alvyn Sanches,Lausanne,84
WF,,,,,Iggy Houben,PSV,84
WF,,,,,Malamine Efekele,AS Monaco,84
WF,,,,,Yankuba Minteh,Newcastle United,84
WF,,England,,,Kaide Gordon,Liverpool,84
CM,,Israel,,,Oscar Gloukh,RB Salzburg,85
CM,,,,,Vasco Sousa,Porto,84
CM,,,,,Franco Mastantuono,River Plate,84
CM,,,,,Bilal El Khannouss,Genk,85
CM,,,,,Can Uzun,Nurnberg,84
CM,,,,,Julen Jon Guerrero,Alaves,84
CM,,,,,Kilian Sauck,Gladbach,84
CM,,,,,Giannis Konstantelias,PAOK,84
CM,,Germany,,,Bence Dardai,Herta BSC,84
CM,,,,,Vasilije Adzic,Buducnost,84
CM,,,,,Facundo Kruspzky,Al-Wahda,84
CM,,,,,Ismael Gharbi,PSG,84
CM,,,,,Zidan Sertdemir,Nordsjaelland,84
CM,,,,,Gabriel Misehouy,Ajax,84
CM,,,,,Ignacio Tapia,Belgrano,84
CM,,,,,Gaetano Oristanio,Inter,84
CM,,,,,Bobby Clark,Liverpool,84
CM,,,,,Danns,Liverpool,84
CM,,,,,Koumas,Liverpool,84
CM,,,,,Will Alves,Leicester City,84
CM,,,,,Cesar Palacios,Real Madrid,83
CM,,,,,Luke Harris,Fulham,83
CM,,,,,David Pejicic,Udinese,83
CM,,,,,Mario Stroeykens,Anderlecht,
CM,,,,,Mauro Echgoyen,Athletic,83
CM,,,,,Leo Castledine,Chelsea,83
CM,,,,,Krystof Danek,Sparta Prague,83
CF,,,,,Leonardo Marcos,Benfica,85
CF,,,,,Gabriel Silva,Sporting,85
CF,,,,,Enzo Sternal,OM,85
CF,,,,,Rodrigo Ribeiro,Sporting,85
CF,,,,,Skye Vink,Ajax,84
CF,,,,,Iker Villar,Sevilla,84
CF,,,,,Jason van Duiven,PSV,84
CF,,,,,Callum Marshall,West Ham,83
CF,,,,,Iker Bravo,Real Madrid,83
CF,,,,,Nicolo Tresoldi,Hannover,83
CF,,,,,Suphanat Mueanta,Buiram United,82
CF,,,,,Noel Lopez,Real Madrid,83
CF,,,,,Mexx Meerdink,AZ,83
CF,,,,,Ilyes Housni,PSG,83
CF,,,,,Kevin Zefi,AS Roma,83
CF,,,,,Jesse Bal,Sparta,83
CF,,Ecuador,,,Allen Obando,Barcelona SC,83
CF,,,,,Samar Bazdar,Partizan,83
CF,,,,,Ethan Laidlaw,Brentford,83
CF,,,,,Tijn den Boggende,83,Utrecht
CF,,,,,Kaua Elias,Fluminense,83
CF,,Brazil,,,Luighi,,83
CF,,,,,Agustin Ruberto,River Plate,83
CF,,,,,Ricardo Pepi,PSV,83
CF,,,,,Garang Krol,Newcastle,84
CF,,,,,Jimmy-Jay Morgan,Chelsea,83
CF,,,,,Jovan Mijatovic,Red Star,83
CF,,,,,Pavel Meleshin,Spartak Moscow,83
CF,,,,,Rory Wilson,Aston Villa,84
CF,,,,,Muharem Huskovic,Austria Vienna,83
CF,,,,,Jon Karrikaburu,Real Sociedad,83
CF,,,,,Ernest Poku,AZ,83
CF,,,,,Dor Turgeman,Maccabi Tel-Aviv,83
CF,,,,,Sydney Osazuwa,Leganes,83
